file_name	sentence_count	tok_count	word_count	split_type
CamelTB_ZAEBUC_AR-130-289115	3	46	40	train
CamelTB_ZAEBUC_AR-130-292703	1	7	6	train
CamelTB_ZAEBUC_AR-130-80566	9	204	152	train
CamelTB_ZAEBUC_AR-130-81303	13	223	180	train
CamelTB_ZAEBUC_AR-130-81425	7	124	91	train
CamelTB_ZAEBUC_AR-130-82310	17	254	196	train
CamelTB_ZAEBUC_AR-130-82421	10	228	172	train
CamelTB_ZAEBUC_AR-130-82659	8	146	116	train
CamelTB_ZAEBUC_AR-130-82789	8	137	107	train
CamelTB_ZAEBUC_AR-130-83139	6	128	98	train
CamelTB_ZAEBUC_AR-130-84014	13	246	199	train
CamelTB_ZAEBUC_AR-130-84446	14	261	220	train
CamelTB_ZAEBUC_AR-130-84627	8	186	154	train
CamelTB_ZAEBUC_AR-130-85294	21	339	271	train
CamelTB_ZAEBUC_AR-130-85331	8	190	151	train
CamelTB_ZAEBUC_AR-130-85466	14	213	169	train
CamelTB_ZAEBUC_AR-130-85828	7	109	90	train
CamelTB_ZAEBUC_AR-130-86741	8	148	124	train
CamelTB_ZAEBUC_AR-130-86817	19	324	257	train
CamelTB_ZAEBUC_AR-130-88399	8	119	96	train
CamelTB_ZAEBUC_AR-130-89391	12	188	162	train
CamelTB_ZAEBUC_AR-130-89415	2	22	16	train
CamelTB_ZAEBUC_AR-130-89674	9	156	125	train
CamelTB_ZAEBUC_AR-130-90095	4	91	78	train
CamelTB_ZAEBUC_AR-130-90308	5	153	112	train
CamelTB_ZAEBUC_AR-130-90530	12	219	179	train
CamelTB_ZAEBUC_AR-130-90783	15	232	191	train
CamelTB_ZAEBUC_AR-130-90813	16	275	231	train
CamelTB_ZAEBUC_AR-130-91028	4	99	84	train
CamelTB_ZAEBUC_AR-130-91256	26	407	328	train
CamelTB_ZAEBUC_AR-130-91347	12	215	175	train
CamelTB_ZAEBUC_AR-130-91705	8	175	151	train
CamelTB_ZAEBUC_AR-130-92132	17	200	155	train
CamelTB_ZAEBUC_AR-130-92245	13	244	200	train
CamelTB_ZAEBUC_AR-130-92771	6	139	106	train
CamelTB_ZAEBUC_AR-130-92844	7	165	134	train
CamelTB_ZAEBUC_AR-130-92903	13	227	180	train
CamelTB_ZAEBUC_AR-130-92988	11	291	224	train
CamelTB_ZAEBUC_AR-130-93034	10	237	204	train
CamelTB_ZAEBUC_AR-130-93285	9	115	92	train
CamelTB_ZAEBUC_AR-130-93459	11	236	182	train
CamelTB_ZAEBUC_AR-130-94320	20	277	217	train
CamelTB_ZAEBUC_AR-130-95365	21	378	298	train
CamelTB_ZAEBUC_AR-130-95626	25	358	279	train
CamelTB_ZAEBUC_AR-130-95973	4	107	85	train
CamelTB_ZAEBUC_AR-130-96120	17	398	300	train
CamelTB_ZAEBUC_AR-130-96479	21	339	274	train
CamelTB_ZAEBUC_AR-130-96882	8	176	142	train
CamelTB_ZAEBUC_AR-130-96883	16	242	204	train
CamelTB_ZAEBUC_AR-130-97035	19	293	225	train
CamelTB_ZAEBUC_AR-130-97412	21	385	314	test
CamelTB_ZAEBUC_AR-130-97652	20	312	264	test
CamelTB_ZAEBUC_AR-130-97726	10	196	161	test
CamelTB_ZAEBUC_AR-130-97823	21	353	263	test
CamelTB_ZAEBUC_AR-130-97841	13	210	165	test
CamelTB_ZAEBUC_AR-130-97908	14	256	192	test
CamelTB_ZAEBUC_AR-130-97947	3	85	66	test
CamelTB_ZAEBUC_AR-130-97981	10	214	158	test
CamelTB_ZAEBUC_AR-130-98148	9	162	123	test
CamelTB_ZAEBUC_AR-130-98231	11	202	162	test
CamelTB_ZAEBUC_AR-130-98675	16	279	222	test
CamelTB_ZAEBUC_AR-130-99201	9	112	91	test
CamelTB_ZAEBUC_AR-130-99351	10	192	158	test
CamelTB_ZAEBUC_AR-130-99590	7	139	109	test
